,ID,DISPLAY_FIRST_LAST,BIRTHDATE,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,POSITION,TEAM_ID,DRAFT_YEAR,PTS,AST,REB
49,2349,Victor Alexander,1969-08-31T00:00:00,USA,82.0,265.0,4,Forward,1610612744,1991,8.9,0.9,4.8
50,1629638,Nickeil Alexander-Walker,1998-09-02T00:00:00,Canada,78.0,205.0,1,Guard,1610612740,2019,9.2,1.9,2.8
51,76024,Steve Alford,1964-11-23T00:00:00,USA,74.0,183.0,3,Guard,1610612742,1987,4.4,1.0,0.9
52,1628959,Rawle Alkins,1997-10-29T00:00:00,USA,77.0,225.0,1,Guard,1610612741,Undrafted,3.7,1.3,2.6
53,76028,Bob Allen,1946-07-17T00:00:00,USA,81.0,205.0,0,Forward,1610612744,1968,1.8,0.4,2.1
54,1628960,Grayson Allen,1995-10-08T00:00:00,USA,76.0,198.0,2,Guard,1610612763,2018,9.5,2.1,3.1
55,1628386,Jarrett Allen,1998-04-21T00:00:00,USA,83.0,243.0,3,Center,1610612739,2017,12.9,1.6,9.9
56,706,Jerome Allen,1973-01-28T00:00:00,USA,76.0,184.0,1,Guard,1610612754,1995,2.9,1.7,1.1
57,1628443,Kadeem Allen,1993-01-15T00:00:00,USA,73.0,200.0,2,Guard,0,2017,5.5,2.3,1.5
58,202730,Lavoy Allen,1989-02-04T00:00:00,USA,81.0,260.0,6,Forward-Center,1610612754,2011,4.8,1.0,4.8
59,76027,Lucius Allen,1947-09-26T00:00:00,USA,74.0,175.0,9,Guard,1610612749,1969,13.4,4.5,3.1
60,2124,Malik Allen,1978-06-27T00:00:00,USA,82.0,255.0,10,Forward,1610612748,Undrafted,4.9,0.5,2.8
61,76025,Randy Allen,1965-01-26T00:00:00,USA,80.0,220.0,1,Forward,1610612758,Undrafted,3.6,0.3,2.1
62,951,Ray Allen,1975-07-20T00:00:00,USA,77.0,205.0,17,Guard,1610612749,1996,18.9,3.4,4.1
63,2754,Tony Allen,1982-01-11T00:00:00,USA,76.0,213.0,13,Guard-Forward,0,2004,8.1,1.3,3.5
64,76029,Odis Allison,1949-10-02T00:00:00,USA,78.0,195.0,0,Forward,1610612744,1971,1.9,0.3,1.3
65,200984,Lance Allred,1981-02-02T00:00:00,USA,83.0,250.0,1,Center,1610612739,Undrafted,1.0,0.0,0.3
66,76030,Darrell Allums,1958-09-12T00:00:00,USA,80.0,220.0,0,Forward,1610612742,1980,2.7,1.1,3.0
67,201165,Morris Almond,1985-02-02T00:00:00,USA,78.0,225.0,3,Guard,1610612762,2007,3.1,0.3,1.2
68,308,Derrick Alston,1972-08-20T00:00:00,USA,83.0,225.0,2,Center,0,1994,5.4,0.7,3.8
69,1747,Rafer Alston,1976-07-24T00:00:00,USA,74.0,175.0,10,Guard,1610612745,1998,10.1,4.8,2.8
70,1824,Peter Aluma,1973-04-26T00:00:00,USA,82.0,260.0,0,Center,0,Undrafted,1.0,0.0,1.0
71,680,John Amaechi,1970-11-26T00:00:00,United Kingdom,82.0,270.0,5,Forward-Center,1610612753,Undrafted,6.2,0.8,2.6
72,732,Ashraf Amaya,1971-11-23T00:00:00,USA,80.0,230.0,1,Forward,0,Undrafted,4.5,0.4,4.2
73,202329,Al-Farouq Aminu,1990-09-21T00:00:00,USA,80.0,220.0,10,Forward,1610612753,2010,5.4,1.8,5.1
74,200811,Lou Amundson,1982-12-07T00:00:00,USA,81.0,220.0,10,Forward,1610612756,Undrafted,3.7,0.4,3.6
75,76034,Bob Anderegg,1937-08-24T00:00:00,USA,75.0,200.0,0,Forward,1610612752,1959,4.0,0.9,2.1
76,2365,Chris Andersen,1978-07-07T00:00:00,USA,82.0,245.0,14,Forward-Center,0,Undrafted,5.4,0.5,5.0
77,2431,David Andersen,1980-06-23T00:00:00,Australia,,,19,,0,2002,4.9,0.6,2.8
78,101187,Alan Anderson,1982-10-16T00:00:00,USA,78.0,220.0,8,Forward-Guard,1610612751,Undrafted,7.3,1.1,2.2
79,202079,Antonio Anderson,1985-06-05T00:00:00,USA,78.0,215.0,1,Guard,0,Undrafted,2.0,0.0,1.0
80,76035,Cliff Anderson,1944-09-07T00:00:00,USA,74.0,200.0,2,Guard,1610612747,1967,3.0,0.8,1.3
81,76036,Daniel Anderson,1951-01-01T00:00:00,USA,74.0,185.0,1,Guard,1610612757,1974,3.7,1.7,1.0
82,1507,Derek Anderson,1974-07-18T00:00:00,USA,77.0,195.0,11,Guard,1610612757,1997,12.0,3.4,3.2
83,76037,Dwight Anderson,1960-12-28T00:00:00,USA,75.0,185.0,0,Guard,1610612743,1982,4.2,0.6,0.4
84,944,Eric Anderson,1970-05-26T00:00:00,USA,81.0,220.0,1,Forward,1610612752,Undrafted,1.6,0.2,1.1
85,246,Greg Anderson,1964-06-22T00:00:00,USA,82.0,250.0,9,Center-Forward,1610612759,1987,7.3,0.6,6.2
86,202341,James Anderson,1989-03-25T00:00:00,USA,78.0,213.0,5,Guard-Forward,1610612759,2010,5.8,1.2,2.3
87,76040,Jerome Anderson,1953-10-09T00:00:00,USA,77.0,195.0,1,Guard,1610612754,1975,2.6,0.3,0.5
88,1626147,Justin Anderson,1993-11-19T00:00:00,USA,77.0,231.0,5,Forward-Guard,1610612751,2015,5.2,0.7,2.5
89,72,Kenny Anderson,1970-10-09T00:00:00,USA,73.0,168.0,13,Guard,0,1991,12.6,6.1,3.1
90,76041,Kim Anderson,1955-05-12T00:00:00,USA,79.0,200.0,0,Forward,1610612757,1978,3.0,0.7,2.1
91,203937,Kyle Anderson,1993-09-20T00:00:00,USA,81.0,230.0,6,Forward-Guard,1610612763,2014,12.8,3.4,5.8
92,76042,Michael Anderson,1966-03-23T00:00:00,USA,71.0,184.0,0,Guard,1610612759,1988,5.7,4.3,2.5
93,76043,Mitchell Anderson,1960-09-23T00:00:00,USA,80.0,195.0,2,Forward,1610612762,1982,4.8,0.7,2.8
94,98,Nick Anderson,1968-01-20T00:00:00,USA,78.0,228.0,13,Forward-Guard,1610612753,1989,14.4,2.6,5.1
95,76045,Richard Anderson,1960-11-19T00:00:00,USA,82.0,240.0,5,Forward,1610612757,1982,5.6,1.5,3.5
96,76046,Ron Anderson,1958-10-15T00:00:00,USA,79.0,215.0,9,Forward,1610612755,1984,10.6,1.4,3.5
97,201583,Ryan Anderson,1988-05-06T00:00:00,USA,81.0,240.0,11,Forward,0,2008,12.3,0.9,5.3
98,1000,Shandon Anderson,1973-12-31T00:00:00,USA,78.0,215.0,9,Guard-Forward,1610612752,1996,7.4,1.4,3.1
99,335,Willie Anderson,1967-01-08T00:00:00,USA,80.0,200.0,8,Guard-Forward,1610612759,1988,12.2,3.8,3.8
100,76048,Wally Anderzunas,1946-01-11T00:00:00,USA,79.0,220.0,0,Center,1610612758,1969,3.6,0.2,1.9
101,101149,Martynas Andriuskevicius,1986-03-12T00:00:00,Lithuania,86.0,240.0,1,Center,1610612739,2005,0.0,0.0,0.7
102,76049,Don Anielak,1930-11-01T00:00:00,USA,79.0,190.0,0,Forward,1610612752,1954,3.0,0.0,2.0
103,1628387,Ike Anigbogu,1998-10-16T00:00:00,USA,82.0,250.0,2,Center,0,2017,0.9,0.1,0.9
104,76050,Michael Ansley,1967-02-08T00:00:00,USA,79.0,225.0,2,Forward,1610612753,1989,6.9,0.4,4.2
105,1512,Chris Anstey,1975-01-01T00:00:00,Australia,84.0,249.0,2,Center,1610612742,1997,5.2,0.8,3.4
106,203507,Giannis Antetokounmpo,1994-12-06T00:00:00,Greece,83.0,242.0,7,Forward,1610612749,2013,29.0,6.4,11.7
107,1628961,Kostas Antetokounmpo,1997-11-20T00:00:00,Greece,82.0,200.0,2,Forward,1610612747,2018,1.2,0.0,1.8
108,203648,Thanasis Antetokounmpo,1992-07-18T00:00:00,Greece,78.0,219.0,2,Forward,1610612749,2014,2.2,0.7,2.0
109,2546,Carmelo Anthony,1984-05-29T00:00:00,USA,79.0,238.0,17,Forward,1610612757,2003,14.0,1.7,3.3
110,21,Greg Anthony,1967-11-15T00:00:00,USA,73.0,180.0,10,Guard,1610612752,1991,7.3,4.0,1.9
111,201202,Joel Anthony,1982-08-09T00:00:00,Canada,81.0,245.0,10,Center,1610612748,Undrafted,2.2,0.2,2.8
112,203544,Pero Antic,1982-07-29T00:00:00,Macedonia,83.0,260.0,1,Forward-Center,1610612737,Undrafted,6.3,0.9,3.5
113,1628384,OG Anunoby,1997-07-17T00:00:00,United Kingdom,79.0,232.0,3,Forward,1610612761,2017,14.0,1.6,5.7
114,203951,Keith Appling,1992-02-13T00:00:00,USA,73.0,185.0,0,Guard,0,Undrafted,1.2,0.2,0.2
115,2737,Rafael Araujo,1980-08-12T00:00:00,Brazil,83.0,270.0,3,Center,1610612761,2004,2.8,0.3,2.8
116,76053,Stacey Arceneaux,1936-02-17T00:00:00,USA,76.0,210.0,0,Forward,1610612737,Undrafted,7.1,0.6,4.6
117,76054,Nate Archibald,1948-09-02T00:00:00,USA,73.0,150.0,12,Guard,1610612758,1970,18.8,7.4,2.3
118,2425,Robert Archibald,1980-03-29T00:00:00,Scotland,83.0,250.0,2,Forward,1610612761,2002,1.2,0.4,1.6
119,1627853,Ryan Arcidiacono,1994-03-26T00:00:00,USA,75.0,195.0,3,Guard,1610612741,Undrafted,3.2,1.2,1.6
120,76055,Jim Ard,1948-09-19T00:00:00,USA,81.0,215.0,3,Center,1610612738,1970,3.5,0.7,3.8
121,2240,Gilbert Arenas,1982-01-06T00:00:00,USA,76.0,215.0,11,Guard,1610612764,2001,20.7,5.3,3.9
122,2772,Trevor Ariza,1985-06-30T00:00:00,USA,80.0,215.0,16,Forward,1610612748,2004,4.0,1.0,3.3
123,76056,Paul Arizin,1928-04-09T00:00:00,USA,76.0,190.0,9,Forward,1610612744,1950,22.8,2.3,8.6
124,76057,Joe Arlauckas,1965-07-20T00:00:00,USA,81.0,230.0,0,Forward,1610612758,1987,3.8,0.9,1.4
125,769,B.J. Armstrong,1967-09-09T00:00:00,USA,74.0,185.0,10,Guard,1610612741,1989,9.8,3.3,1.8
126,76061,Bob Armstrong,1933-06-17T00:00:00,USA,80.0,220.0,0,Center,1610612744,1955,1.5,0.2,2.1
127,2220,Brandon Armstrong,1980-06-16T00:00:00,USA,77.0,185.0,3,Guard,1610612751,2001,2.2,0.2,0.6
128,353,Darrell Armstrong,1968-06-22T00:00:00,USA,73.0,180.0,14,Guard,1610612753,Undrafted,9.2,4.0,2.7
129,200756,Hilton Armstrong,1984-11-23T00:00:00,USA,83.0,235.0,5,Forward-Center,1610612740,2006,3.0,0.3,2.6
130,76060,Paul Armstrong,1918-11-01T00:00:00,USA,71.0,170.0,2,Guard,1610612765,Undrafted,6.8,2.3,2.3
131,76059,Tate Armstrong,1955-10-05T00:00:00,USA,75.0,175.0,1,Guard,1610612741,1977,3.8,1.1,1.0
132,76062,Jesse Arnelle,1933-12-30T00:00:00,USA,77.0,220.0,0,Forward,1610612765,1955,4.7,0.6,5.5
133,76063,Jay Arnette,1938-12-19T00:00:00,USA,74.0,175.0,2,Guard,1610612758,1960,3.7,1.2,1.0
134,76064,Bob Arnzen,1947-11-03T00:00:00,USA,77.0,205.0,0,Forward,1610612758,1969,5.5,0.4,2.8
135,2306,Carlos Arroyo,1979-07-30T00:00:00,Puerto Rico,74.0,200.0,9,Guard,1610612753,Undrafted,6.6,3.1,1.7
136,201589,Darrell Arthur,1988-03-25T00:00:00,USA,81.0,235.0,9,Forward,1610612743,2008,6.5,0.8,3.5
137,76065,John Arthurs,1947-08-15T00:00:00,USA,76.0,185.0,0,Guard,1610612749,1969,3.2,1.5,1.3
138,1628503,Jamel Artis,1993-01-12T00:00:00,USA,79.0,213.0,1,Guard,1610612753,Undrafted,5.1,1.2,2.5
139,201600,Omer Asik,1986-07-04T00:00:00,Turkey,84.0,255.0,8,Center,1610612740,2008,5.3,0.6,7.1
140,355,Vincent Askew,1966-02-28T00:00:00,USA,78.0,210.0,8,Guard,0,1987,7.1,2.2,2.5
141,173,Keith Askins,1967-12-15T00:00:00,USA,80.0,215.0,8,Forward-Guard,1610612748,Undrafted,3.8,0.8,2.9
142,76068,Don Asmonga,1928-02-15T00:00:00,USA,74.0,185.0,0,Guard,1610610024,Undrafted,0.7,0.7,0.1
143,76069,Richard Atha,1931-09-21T00:00:00,USA,74.0,190.0,1,Guard,1610612752,1953,3.2,1.2,1.5
144,1088,Chucky Atkins,1974-08-14T00:00:00,USA,71.0,185.0,11,Guard,1610612765,Undrafted,9.9,3.4,1.7
145,76070,Alvin Attles,1936-11-07T00:00:00,USA,73.0,175.0,10,Guard,1610612744,1960,8.9,3.5,3.5
146,76071,Chet Aubuchon,1916-05-08T00:00:00,USA,70.0,137.0,0,Guard,1610610028,Undrafted,2.2,0.7,
147,278,Stacey Augmon,1968-08-01T00:00:00,USA,80.0,213.0,15,Forward-Guard,1610612737,1991,8.0,1.6,3.2
148,201571,D.J. Augustin,1987-11-10T00:00:00,USA,71.0,183.0,12,Guard,1610612745,2008,6.1,3.0,1.4
149,200788,James Augustine,1984-02-27T00:00:00,USA,82.0,235.0,1,Forward,1610612753,2006,1.6,0.1,1.2
150,1134,Ike Austin,1969-08-18T00:00:00,USA,82.0,288.0,8,Center,0,1991,7.6,1.2,4.7
151,76073,John Austin,1944-08-31T00:00:00,USA,72.0,170.0,0,Guard,1610612764,1966,5.8,1.0,1.8
152,76074,Ken Austin,1961-07-15T00:00:00,USA,81.0,205.0,0,Forward,1610612765,1983,1.7,0.1,0.4
153,138,Anthony Avent,1969-10-18T00:00:00,USA,81.0,240.0,5,Center,1610612749,1991,5.6,0.8,4.5
154,76076,William Averitt,1952-07-22T00:00:00,USA,74.0,170.0,1,Guard,1610612746,1973,8.3,2.5,1.2
155,1895,William Avery,1979-08-08T00:00:00,USA,74.0,180.0,3,Guard,1610612750,1999,2.7,1.4,0.7
156,76078,Dennis Awtrey,1948-02-22T00:00:00,USA,82.0,235.0,11,Center,1610612756,1970,4.8,2.0,4.6
157,202970,Gustavo Ayon,1985-04-01T00:00:00,Mexico,,,2,,0,Undrafted,4.7,1.3,4.4
158,201965,Jeff Ayres,1987-04-29T00:00:00,USA,81.0,250.0,6,Forward-Center,1610612759,2009,2.9,0.4,2.7
159,1629028,Deandre Ayton,1998-07-23T00:00:00,Bahamas,83.0,250.0,2,Center,1610612756,2018,14.5,1.6,11.0
160,101235,Kelenna Azubuike,1983-12-16T00:00:00,United Kingdom,77.0,215.0,4,Guard,1610612744,Undrafted,10.5,1.1,4.0
161,203569,Chris Babb,1990-02-14T00:00:00,USA,77.0,225.0,2,Guard,1610612738,Undrafted,1.6,0.2,1.2
162,202337,Luke Babbitt,1989-06-20T00:00:00,USA,81.0,225.0,8,Forward,1610612748,2010,4.8,0.6,2.2
163,76079,Milos Babic,1968-11-23T00:00:00,USA,84.0,240.0,1,Center,1610612739,1990,1.8,0.5,1.0
164,76080,Johnny Bach,1924-07-10T00:00:00,USA,74.0,180.0,0,Forward,1610612738,1948,3.5,0.7,
165,1628407,Dwayne Bacon,1995-08-30T00:00:00,USA,78.0,221.0,3,Guard-Forward,1610612753,2017,9.9,1.1,2.8
166,76081,Jim Baechtold,1927-12-09T00:00:00,USA,76.0,205.0,4,Forward,1610612752,1952,9.7,2.1,3.1
167,2053,Dalibor Bagaric,1980-07-02T00:00:00,Croatia,85.0,290.0,3,Center,1610612741,2000,2.6,0.4,2.5
168,76082,John Bagley,1960-04-23T00:00:00,USA,72.0,185.0,10,Guard,1610612739,1982,8.7,6.0,2.6
169,1628963,Marvin Bagley III,1999-03-14T00:00:00,USA,83.0,235.0,2,Forward,1610612758,2018,13.9,0.9,7.4
170,76084,Carl Bailey,1958-04-23T00:00:00,USA,84.0,210.0,0,Center,1610612757,1980,2.0,0.0,0.0
171,76083,Gus Bailey,1951-02-18T00:00:00,USA,77.0,185.0,4,Guard,1610612745,1974,2.6,1.1,1.7
172,76085,James Bailey,1957-05-21T00:00:00,USA,81.0,220.0,8,Forward,1610612760,1979,8.8,0.8,5.0
173,1847,Thurl Bailey,1961-04-07T00:00:00,USA,83.0,247.0,11,Forward,1610612762,1983,12.8,1.4,5.1
174,1753,Toby Bailey,1975-11-19T00:00:00,USA,78.0,213.0,2,Guard,1610612756,1998,3.3,0.6,1.7
175,203946,Cameron Bairstow,1990-12-07T00:00:00,Australia,81.0,250.0,2,Forward-Center,1610612741,2014,1.2,0.2,1.0
176,1858,Mark Baker,1969-11-11T00:00:00,USA,73.0,175.0,0,Guard,0,Undrafted,0.0,0.0,0.0
177,2486,Maurice Baker,1979-07-28T00:00:00,USA,74.0,200.0,1,Guard,0,Undrafted,0.0,0.2,0.4
178,76089,Norm Baker,1923-02-17T00:00:00,Canada,72.0,180.0,0,Guard,1610610025,Undrafted,0.0,0.0,
179,1627758,Ron Baker,1993-03-30T00:00:00,USA,76.0,220.0,2,Guard,0,Undrafted,3.1,1.8,1.4
180,452,Vin Baker,1971-11-23T00:00:00,USA,83.0,240.0,12,Forward,1610612760,1993,15.0,1.9,7.4
181,1627735,Wade Baldwin IV,1996-03-29T00:00:00,USA,76.0,200.0,2,Guard,0,2016,3.1,1.4,1.2
182,200764,Renaldo Balkman,1984-07-14T00:00:00,USA,80.0,225.0,6,Forward,0,2006,4.0,0.6,3.5
183,76090,Cedric Ball,1968-04-16T00:00:00,USA,80.0,210.0,0,Forward,1610612746,Undrafted,1.1,0.0,1.6
184,1628366,Lonzo Ball,1997-10-27T00:00:00,USA,78.0,190.0,3,Guard,1610612740,2017,14.2,5.6,4.2
185,76091,Greg Ballard,1955-01-29T00:00:00,USA,79.0,215.0,10,Forward,1610612764,1977,12.4,2.2,6.1
186,76092,Herschel Baltimore,1921-06-21T00:00:00,USA,76.0,195.0,0,Forward,1610610034,Undrafted,2.4,0.3,
187,1628964,Mo Bamba,1998-05-12T00:00:00,USA,84.0,231.0,2,Center,1610612753,2018,4.6,0.3,3.9
188,76093,Gene Banks,1959-05-15T00:00:00,USA,79.0,215.0,5,Forward,1610612759,1981,11.3,2.9,5.8
189,2556,Marcus Banks,1981-11-19T00:00:00,USA,74.0,205.0,8,Guard,1610612738,2003,5.9,2.1,1.5
190,76094,Ken Bannister,1960-04-01T00:00:00,USA,81.0,235.0,4,Forward,1610612752,1984,5.9,0.4,3.5
191,76095,Mike Bantom,1951-12-03T00:00:00,USA,81.0,200.0,8,Forward,1610612754,1973,12.1,2.3,6.4
192,76096,John Barber,1927-06-27T00:00:00,USA,78.0,210.0,0,Forward,1610612737,1956,1.4,0.0,1.2
193,2571,Leandro Barbosa,1982-11-28T00:00:00,Brazil,75.0,194.0,14,Guard,1610612756,2003,10.6,2.1,2.0
194,76097,Stephen Bardo,1968-04-05T00:00:00,USA,77.0,190.0,2,Guard,1610612742,1990,2.2,1.3,1.8
195,200826,J.J. Barea,1984-06-26T00:00:00,Puerto Rico,70.0,180.0,14,Guard,1610612742,Undrafted,8.9,3.9,2.1
196,200745,Andrea Bargnani,1985-10-26T00:00:00,Italy,84.0,245.0,9,Center-Forward,0,2006,14.3,1.2,4.6
197,76098,Cliff Barker,1921-01-15T00:00:00,USA,74.0,185.0,2,Guard,1610610030,1949,3.7,2.0,1.8
198,76099,Tom Barker,1955-03-11T00:00:00,USA,83.0,225.0,1,Center,1610612737,1976,6.5,0.8,5.3
199,787,Charles Barkley,1963-02-20T00:00:00,USA,78.0,252.0,15,Forward,1610612755,1984,22.1,3.9,11.7
200,2057,Erick Barkley,1978-02-21T00:00:00,USA,73.0,185.0,2,Guard,1610612757,2000,2.9,1.5,0.8
201,76102,Don Barksdale,1923-03-31T00:00:00,USA,78.0,200.0,3,Forward,1610612738,Undrafted,11.0,2.1,8.0
202,203084,Harrison Barnes,1992-05-30T00:00:00,USA,80.0,225.0,8,Forward,1610612758,2012,16.3,3.7,6.5
203,76103,Harry Barnes,1945-07-25T00:00:00,USA,75.0,205.0,0,Forward,1610612745,1968,2.0,0.2,1.2
204,76105,Jim Barnes,1941-04-13T00:00:00,USA,80.0,210.0,6,Center,1610612738,1964,8.8,0.8,6.5
205,76104,Marvin Barnes,1952-07-27T00:00:00,USA,81.0,210.0,3,Forward,1610612746,1974,9.2,1.5,5.5
206,2440,Matt Barnes,1980-03-09T00:00:00,USA,79.0,226.0,14,Forward,1610612744,2002,8.2,1.8,4.6
207,76107,Dick Barnett,1936-10-02T00:00:00,USA,76.0,190.0,13,Guard,1610612752,1959,15.8,2.8,2.9
208,76106,Jim Barnett,1944-07-07T00:00:00,USA,76.0,170.0,10,Guard,1610612744,1966,11.7,3.0,3.1
209,76108,John Barnhill,1938-03-20T00:00:00,USA,73.0,180.0,6,Guard,1610612737,1959,8.6,2.8,2.8
210,76109,Norton Barnhill,1953-07-15T00:00:00,USA,76.0,205.0,0,Guard,1610612760,1976,1.0,0.3,0.8
211,76110,Leo Barnhorst,1924-05-11T00:00:00,USA,76.0,190.0,4,Forward,1610610030,1949,9.4,3.2,5.4
212,76111,John Barr,1918-08-18T00:00:00,USA,75.0,205.0,0,Forward,1610610034,Undrafted,5.1,0.9,
213,76112,Mike Barr,1950-10-19T00:00:00,USA,75.0,180.0,0,Guard,1610612758,1972,3.9,2.4,1.8
